URL,物件名称,所在地,最寄駅,賃料,管理費,面積,改装可能範囲,原状回復,敷金,礼金,条件,築年,構造規模,契約内容,備考,情報掲載者,取引容態,募集有無,最終確認日,タイトル,詳細
https://www.diyp.jp/room/1,TOC第3ビル405号室,東京都渋谷区桜丘町9-17,"JR「渋谷」駅徒歩8分,銀座線「渋谷」駅徒歩８分,半蔵門線「渋谷」駅徒歩８分","¥115,500",¥0,33.00㎡,室内の躯体の内側であれば、改装OK.,改装工事前に貸主に工事内容を書面にて提出することにより原状回復義務なし,３ヶ月,1ヶ月分,オフィス,1962年06月,RC造／地上5階建て,定期賃貸借契約2年,成約時仲介手数料として賃料の1.05ヶ月分を頂戴します。,株式会社PAX,仲介,※募集は終了しております,2014年08月25日,渋谷建物内全ての部屋が改装可能なマンション,渋谷駅からほど近い桜丘エリアの物件です。駅前の喧噪をよそに、代官山や恵比寿に近いためか、比較的穏やかでクリエイティブな仕事をされている方の個人事務所等が多いエリアです。建物は東京オリンピックの頃に建てられた物件で、５０室近い部屋のほとんどが改装され、カメラマンの方の事務所や、建築事務所、アパレルブランドの事務所、デザイン事務所、映画配給の事務所、アーティストのマネジメント事務所、モデルエージェンシー等々がひしめき合っているユニークな物件です。建物全体が、もはやARTDISTRICTです。
https://www.diyp.jp/room/51,マチヤハウス1階,東京都荒川区荒川7-37-3,千代田線「町屋」駅徒歩5分,"¥80,000",¥0,33.00㎡,室内の躯体の内側であれば、改装OK.,改装工事内容を事前にオーナーに承認を得ることで原状回復義務なし。,1ヶ月,1ヶ月,オフィス,1978年,鉄骨造/２階建て,普通賃貸借契約２年,成約時仲介手数料として賃料の1.05ヶ月分を頂戴します。,株式会社PAX,仲介,※募集は終了しております,2014年08月25日,小さめ倉庫1F,町屋駅から歩いてちょっとの所にある事務所、倉庫の物件です。町屋は、千代田線と京成本線が通っており、日暮里や谷根千などにもわりかし近い所にあります。周辺は、まさに東京の下町な感じで、のんびりとした雰囲気が感じられます。物件は、２階建ての建物の１階でシャッターが付いています。道路に面しているので、シャッターと扉をあけると室内が外に開けている感じが面白いです。大きさは１０坪程で、３〜５名くらいのデザイン事務所や設計事務所なんかに良さそうな気がしました。改装可能な範囲は、①壁の塗装②キッチン等の設備の変更③床の変更等で、改装をする前に一度オーナーさんの方に相談をお願いします。個人的には、・床のビニールシート→剥がしてコンクリート露出・壁、天井→塗装・蛍光灯→配ダク（スポットライト）の変更くらいでも全然印象が変わる気がしました。建物前面をオーナーさんの方で塗装をかける予定もあるそうです。周辺の住民の方達とコミュニケーションをとりながら地域密着型で仕事をしたりできたら楽しそうです。
https://www.diyp.jp/room/101,パークサイド駒込301号室,東京都北区中里1-21-1,JR山手線「駒込」駅徒歩5分,"¥105,000","¥3,000",37.60㎡,壁紙の変更。,改装工事内容を事前にオーナーに了承を得ることで原状回復義務なし,0ヶ月,0ヶ月,住居,1984年12月,鉄骨造／4階建,普通賃貸借契約2年,保証会社要加入。,株式会社PAX,仲介,※募集は終了しております,2014年08月25日,壁紙の変更可フリーレント1ヶ月あり,"引越時の初期費用は安い方が嬉しいですよね。安ければ、軽やかに次の場所に移り続けられる気がします。この物件は、敷金礼金が０です。しかも、入居して最初の１ヶ月はフリーレントがついており、家賃が発生しません。やりましたね。かなりラッキーです。なにか裏があるのではと思ったのですが、単純に空いてしまっているので、早く次の方に入って頂きたいとの理由からだそうです。部屋は、３０㎡を超える大きさがあり、ベッドルームとリビングが分かれています。１人だと十分、２人でちょうどいい位の大きさかと思います。改装できる範囲は、室内の壁紙の張り替え、塗装、照明の変更等ができます。その他、改装したい箇所が有る場合は、オーナーさんの方と相談になります。原状回復に関しては、改装前にオーナーさんに工事プランを提出する事により免除となります。室内はリノベーションとクリーニングがされており、結構綺麗です。壁紙をオシャレな物に変えたり、日々の生活の中でちょっとした内装変更を繰り返して楽しむのに良いお部屋かと思います。ペットと一緒に暮らすのもOKだそうで、その場合には、敷金と礼金が１ヶ月ずつ必要になります。建物には、もう一部屋、初期費用等が同じ条件で募集している部屋があり、そちらの賃料は99,000円になります。"
https://www.diyp.jp/room/151,高輪アパートメント405号室,東京都港区高輪3-10-7,都営浅草線「高輪台」駅徒歩2分、JR山手線「品川」駅徒歩10分,"¥135,000",¥0,36.45㎡,壁と天井への塗装or壁紙の変更、床の素材変更、その他相談,改装内容によるので、事前相談により決定,2ヶ月,0ヶ月,住居,1971年12月,S造／地上5階建て,定期建物賃貸借契約2年,SOHO利用及びペット相談可（＋敷金1ヶ月）。,株式会社PAX,仲介,※募集は終了しております,2014年08月25日,広めのリビングの他に寝室あり壁の木目がきれい,港区高輪、良いとこです。高輪台の駅からすぐなのですが、品川駅にもほど近く、物件のお隣には高輪病院や使われなくなった衆議院議員宿舎等があり、ちょっと歩くと品川プリンスホテルを初めとして、ホテルがいくつもあります。個人的には品川方面に歩いた先にAUXBACCHANALESがあるのが、嬉しい感じがしました。ステーキフリット美味しいです。建物は、現在４部屋空いており、405号室は、片面の壁が木な感じになっているのがインパクトあるお部屋です。木の壁の中にお風呂・トイレや、部屋があり、キッチンの収まりなども含めて、すっきりとした感じのお部屋でした。雰囲気等がとても良かったです。改装できる範囲は、壁・天井への塗装、壁紙の変更と、床材（現状はカーペット）の変更になります。その他、「キッチンを変えたい」や「扉を変更したい」等々の要望に関しては、オーナーさんへの相談も可能です。改装前に、オーナーさんに変更内容の提出をする事が必要で、了解を得る事で改装箇所への原状回復が不要となります。室内はクリーニングがされ、設備的にも不備がなくきれいな状態になっています。そのままでももちろん、快適に過ごせると思いますが、是非、壁紙やペイントを使って色を加えたり、柄を足したりして遊んで頂けたらと思います。そのまま住むより、断然に部屋が楽しくなると思いますよ。
https://www.diyp.jp/room/201,東京コミュ+2F,東京都荒川区西日暮里6-32-3,JR山手線、東京メトロ千代田線「西日暮里」駅徒歩8分,"¥658,000",¥0,313.20㎡,室内の躯体の内側であれば、改装OK.,改装工事内容を事前にオーナーに了承を得ることで原状回復義務なし,8ヶ月,１ヶ月,オフィス／店舗／その他,1971年12月,鉄筋コンクリート造／地上5階建て,普通賃貸借契約2年,"敷地内駐車場有り(月額28,000円)。",株式会社PAX,仲介,※募集は終了しております,2014年08月25日,西日暮里広めの空間シェアオフィスなどにどうでしょう,西日暮里の穏やかな通りにあるビルの1階です。建物は、古さはありますが、色々手を加えられており、３階４階が住居で、５階がシェアハウスになっています。屋上部分にはデッキが敷いてあったりして、利用する事ができます。室内は、元々設備系の会社が利用していたそうで、仕切りがなく広々としています。天井から何かが垂れ下がっていたり、板が外れていたりしますが、その辺りも含めて、改装のしがいがある物件だと思います。改装できる範囲は、躯体の内側であれば可能で、壁の色を変えたり、照明を変えたり、床の仕様を変更したり等など、色々できます。改装前に、オーナーさんにプランの確認をする事が必要で、了承を得る事により退去時の原状回復が不要となります。かなりの広さがあるので、シェアオフィスの様な使い方とかにも良さそうだなあと思いました。大きめの空間を探されている方にオススメです。※FACEBOOKにも写真を掲載しています。http://goo.gl/SPXOI
https://www.diyp.jp/room/251,ハイツグランドール203号室,東京都世田谷区宇奈根3-13-24,小田急小田原線「成城学園前」駅バス12分＋徒歩3分、東急田園都市線「二子玉川」駅バス14分＋徒歩3分,"¥87,000","¥2,000",35.70㎡,室内に貼る壁紙を選べる。その他、オーナーへの相談可。,オーダーメイドした改装については原状回復の必要なし。但し、汚損破損などは原状回復の対象。,１ヶ月,0ヶ月,住居,1993年,軽量鉄骨造／地上2階建,普通賃貸借契約2年,"駐輪場有り。バイク置場有り（無料）。駐車場有り（13,000円／月）",株式会社PAX,仲介,※募集は終了しております,2014年08月25日,室内の壁紙を、カタログの中から選んでいただけます,【壁紙をカタログの中から選べるお部屋。DIY賃貸】No.135＆190と同じ建物内にあるお部屋です。世田谷区宇奈根の閑静な地域にあるアパートの一室のご紹介です。駅からは少し距離がありますが、ゆったりとした周辺の雰囲気がのどかで、好む方は多いかと思います。アパート前面に駐車場、駐輪場もあります。室内は、床に杉の木を杉綾状に貼り、ガラス面が大きいので陽当たりがとても良いのと、キッチンや洗面台などの設備が新品で綺麗です。面白い点として、壁天井の壁紙はあえて剥がしてある状態での募集となり、入居される方はカタログの中から壁紙を選ぶ事ができます（予算の範囲内で選ぶ事となります）。色や柄などはものすごい種類がありますので、自分の求める内装イメージを元にオーナーさんと相談しながら部屋作りをして頂きます。壁紙代と貼る費用はオーナーさんの負担となり（もし予算の範囲を超えた場合は、その分は入居者負担となります）、選んだ壁紙が業者さんの手で貼られた状態で引き渡しとなります。日本の住宅だと、白いクロスが一般的ですが、少し思い切った色や柄の壁紙を張っても意外としっくりきて、家具と合わせやすかったりするので、壁紙を選ぶのはとても楽しいですよ。また、室内の扉や引き戸にも壁紙を貼ったりペイントをしたりできるので、結構まるっと部屋を作り込む事ができますよ。あと、キッチンの前の壁のタイルも選ぶ事ができます。
https://www.diyp.jp/room/301,代々木村田マンション305号室,東京都渋谷区代々木4-28-8,JR山手線「新宿」駅徒歩10分、京王線「初台」駅徒歩4分、小田急線「参宮橋」駅徒歩6分,"¥138,000",¥0,39.90㎡,室内の躯体の内側、構造に関わる箇所以外、改装OK.,改装工事内容を事前にオーナーに了承を得ることで原状回復義務なし,2ヶ月,１ヶ月,住居／オフィス,1965年,RC造／地下1階地上8階建,普通賃貸借契約2年,鍵交換費用,株式会社PAX,仲介,※募集は終了しております,2014年08月25日,代々木村田マンション80室以上ある全ての部屋が改装可能,"※No.67〜72,96,114.141,142,143,148,149,157,164,169.198と同じ建物の別のお部屋です。上記のとおり、このサイトで何度もご紹介させて頂いている、「代々木村田マンション」に空室がでました。改装可能な範囲は、他のお部屋と同じ様に、改装前にオーナーさんに改装内容の確認をとる事で、室内の躯体の内側であれば改装可能となっています。間取りを変えたり、天井を抜いたり、床を変えたり、色々する事ができます。事前に承認をもらった改装に関しては、原状回復が不要です。そもそもこのマンションが改装可能となったのは、ある外国から帰って来た人が、オーナーさんに「改装してもいい？」と聞いた事がきっかけで、そしたらいつの頃からか、「あの建物は部屋の中を変えられるらしいよ」という噂が口伝えで広まって、こうなったとの事です。今では、建物内80数部屋のお部屋のほぼ全てが改装を施されています。ほとんどの入居者がクリエイターで、部屋の設えはバラバラなのですが、サイトで紹介している過去の部屋を見てもわかるとおり、一つとして「これはないでしょう」という部屋がないのも面白いなあと思います。過去の入居者の方が手を入れて、それを次の人に渡して、その人がまた改装してを繰り返した結果が良い感じにまとまっているのです。305号室は、床がコンパネの状態で貸し出しとなっています。この上から自分で床を張ってもよいし、オーナーさんの方で用意しているPタイルを貼るのであれば、費用はオーナーさんの方で持ってもらえるそうです。床を変えて、壁にペイントして、照明をいじったら、かなり良い感じの部屋になるように思いました。ちなみに、住居の場合は、お風呂がついてないので、自分でバスタブから給湯器から一式揃えなければならないので、ご注意下さい。"
https://www.diyp.jp/room/351,平塚入野の戸建,神奈川県平塚市入野,JR東海道本線「平塚」駅よりバス18分バス停より徒歩3分,"¥55,000",¥0,63.62㎡,構造にかかわる箇所以外改装可,改装工事内容を事前にオーナーに了承を得ることで原状回復義務なし,１か月,１か月,住居,1973年05月,木造2階建,2年,保証会社加入義務(賃料の50%~)、ご成約時に仲介手数料として賃料の1.00ヶ月分を頂戴いたします。,株式会社トップノッチ,媒介,※募集は終了しております,-1年11月30日,DIYベテラン向け&フリーレント３か月賃貸条件相談可,骨太のDIY好きにおくるこの物件、完成したときには達成感に満たされることと思います。場所は平塚市、市内唯一の駅・平塚駅からバスで18分、歩いて3分の住宅街の中ののんびりしたエリアにあります。正直、すぐに快適な生活を送ることができる物件ではありません。2階は間仕切りが少ないので、床材をバシバシ張り、壁を塗るなりすれば短期間で見違えるような空間になりそうですが、１階は腕の見せ所を発揮すべき空間です。トイレ・浴室はそのままでも使えそうですが、キッチンはそもそも埋込型のコンロのコンロがないので、いっそのこと全部やり替えた方がいいでしょう。ちょっとやそっとのDIYでは飽き足らない方へ、フリーレントが３か月ついていますので、別のところに住みながらでもじっくり直す時間があります。賃貸条件についてはオーナーさんと交渉可なので、上手に使って下さい。
https://www.diyp.jp/room/401,新桜ヶ丘ハイツ６号棟,神奈川県横浜市保土ケ谷区新桜ヶ丘1-64-6,JR横須賀線「東戸塚」駅よりバス７分徒歩３分,"¥53,000","¥2,000",45.79㎡,室内の躯体の内側であれば、改装OK,改装工事内容を事前にオーナーに了承を得ることで原状回復義務なし,１ヶ月,なし,住居,1978年08月,RC造/５階建,普通賃貸借契約２年,現況渡し。成約時、仲介手数料として賃料の1.08ヶ月分を頂戴します。,株式会社トップノッチ,媒介,※募集は終了しております,2016年04月16日,来たぞ、団地！コンパクトだけどレトロなディテール,団地好きのDIY好きの方々、お待たせいたしました。1978年生まれのザ・団地が募集開始です。扉や開口部、ベランダの手すりなどディテールには最近の新築にはない愛らしさが感じられました。ちょっと丸くなっていたり、ちょっと今とはスケール感が違っていたりするだけなんですが、約40年前に新築の団地を買った方々に思いを馳せると、こういうのを全部まとめて嬉しかったんじゃないかと…。脱線しました。キッチン、トイレ、浴室などの水周りはそれなりに年季が入っていますので、自分好みに直しましょう。どれも使えなくはない、という状態なのでゆっくりでも大丈夫です。床や壁もコンパクトサイズの物件なので、少しずつ手を入れていけば近い将来に終わるはず！です。周囲の環境として、駅からはバスになりますが、近くにスーパーや温泉、コンビニ、公園もあるので、駅まで行く必要がない方は近隣だけでも生活ができそうです。
https://www.diyp.jp/room/451,神津マンション,大阪府大阪市淀川区十三本町2-16-1,阪急神戸線十三駅徒歩5分,"¥45,000",¥0,25.00㎡,室内の躯体の内側。構造に関わる箇所以外改装可。貸主への許可が必要。,改装工事内容を事前にオーナーに承諾を得ることで原状回復義務なし。,0円,0円,住居／オフィス／店舗,1969年07月,鉄骨造3階建,一般賃貸借契約2年（自動更新）,募集住戸は3階部分となります。内覧可能。現状(スケルトン）渡しでの引渡となります。保証会社加入要。成約時仲介手数料として賃料の1.08ヶ月分を頂戴致します。,THEBRIDGE株式会社,媒介,※募集は終了しております,2015年06月18日,仲間募集！これから古ビル再生プロジェクト始めます＠十三,大阪を代表する街のひとつ「十三（じゅうそう）」。ひょっとすると、ネオンイメージが強いかもしれないですが、交通アクセスの良さや物価の安さだけでなく、ねぎ焼きのやまもとを筆頭に飲食店の宝庫とも言える十三。ウルフルズがデビュー前にライブをしていたことで有名なライブハウスFANDANGOなんかも有名ですね。そんな、数ある大阪の街の中でも独特のアイデンティティを感じさせる街「十三」でこれからあるプロジェクトが始まろうとしています。それは、同じ感性で愉しめるような仲間たちと共にある古いビルを再生させ、このビルならではのカルチャーを発信していこうというプロジェクト。「このままではつまらない！」と、まずは、去年アツい想いを胸に39歳のビルオーナー自身が輸入壁紙専門会社のショールームをビル内にオープンさせました。今はまだ普通のレトロビル。住居として住まわれている方もいます。これから今後ビルが進むべきコンセプトやビル名のネーミング、テナント選定など、これから仲間たちと決めるべきプロジェクトが目白押しです。「つくられた◯◯」に身を置くのではなく、これから「新たに◯◯をつくりたい！」クリエイティブな感性を持った個人事業主に是非、仲間になってほしいと考えています。お部屋はDIYありきで、写真のように既に解体済。用途は事務所でも住居でもOK。店舗についても業種次第ご相談可能です。
https://www.diyp.jp/room/551,富士商事ビル306,東京都渋谷区桜丘町2-3,山手線「渋谷」駅徒歩1分,"¥338,400",¥0,77.68㎡,室内の躯体の内側、構造に関わる箇所以外,2016年10月1日以降に退去の場合、原状回復義務なし,5ヶ月,なし,オフィス／店舗,1973年,RC造／地上8階建,定期借家契約2017年3月末まで,店舗利用の場合、飲食、美容室、建物内同業種不可。,株式会社PAX,仲介,※募集は終了しております,2015年12月24日,渋谷再開発エリアに建つビル,"渋谷駅周辺の再開発に伴い、将来的に建て壊しが予定されているビルです。地下一階に、富士屋本店という素敵な立ち飲みがあります。17時から空いているので、ぜひ。貸し出しは、定期借家契約で、平成29年3月31日までとなります。もう少し延長できるという噂もちらほらあるのですが、一応この日程で終了と思っていてもらえればと思います。改装については、室内の内側であれば可能です。現状はほぼほぼスケルトンの状態で、一部柱に木の何かが貼付けられていますが、それをとってしまえば、すっきりとした空間になると思います。退去時の原状回復については、平成28年10月1日以降に退去される場合は、原状回復が不要となります。それ以前に解約する場合は、必要となります。よくわからないルールとして、平成28年10月1日以降に退去する場合、引越費用として、¥3,000／㎡がもらえるそうです。お得ですね。事務所利用の他に、店舗も可能です。飲食、美容室、建物内に同業種が入っている業態は不可との事です（ネイル、エステ、整体）。期間は限られていますが、駅からは近いですし、空間的にも使いやすそうでいいなと思いました。"
https://www.diyp.jp/room/601,弁三ビル304号室,神奈川県横浜市中区弁天通３丁目４８,みなとみらい線「馬車道」駅徒歩４分・「日本大通り」駅徒歩６分/JR根岸線「関内」駅徒歩７分・「桜木町」駅徒歩９分,"¥85,000","¥1,000",47.75㎡,室内の構造に関わる箇所以外改装可能,改装工事内容を事前に書面でオーナーに了承を得ることで原状回復義務なし,1ヶ月,１ヶ月,住居／オフィス,1955年01月,RC造４階建,定期借家契約２年(更新可),ペット飼育可(敷金２ヶ月、種類については相談)。保証会社加入要。成約時には仲介手数料として成約賃料の1.08ヶ月分、,株式会社トップノッチ,媒介,※募集は終了しております,2016年06月02日,横浜関内２：横浜ビジネス街のレトロマンション。,横浜関内で働いている方なら、TVKも入る横浜メディアビジネスセンターの前のファミマのビルといえばおそらくわかっていただけるんじゃないでしょうか。１階にはそのファミリーマートの他に、飲食店やバーが入っています。住居部分への入り口は裏口からですが、その裏口が雰囲気たっぷりで、すでに圧倒されます。共用部がゆったりとしたつくりになっていて、今のマンションやビルにはない雰囲気がビシバシ感じられます。素っ気ないほどシンプルな壁面に配管やらメーターやらついている無骨さが歴史を物語っているようです。エレベーターはないので、その雰囲気を楽しみながら階段を上がってください。室内南側は少々床や壁に傷みが見られます。使用に不備があるほどではありませんが、気になる方は仕上げとして塗り直したり貼り直したりしましょう。小さめの洋室がついていますので、そこを純粋プライベートエリア、他のエリアを仕事スペースとしてSOHO的に利用するのもありです。水周りは新しめの設備が入っていますし、特にキッチンは3口のコンロが入っていますので、毎日料理をする方にも使いやすそうです。建物の面する弁天通は街路樹も多く、街中でも気持ちがいい場所です。ビジネス街なので交通の便はよく、徒歩10分以内に２路線４駅利用可能です。海や観光施設も近く、横浜を満喫したい方にもいいと思います。
https://www.diyp.jp/room/651,MAILOTJAUNENOZAKI,大阪府大東市野崎1-12-17,JR学研都市線野崎駅徒歩5分,"¥44,000","¥3,000",33.00㎡,室内の躯体の内側。構造に関わる箇所以外改装可。貸主への許可が必要。,改装工事内容を事前に貸主に承諾を得ることで原状回復義務なし。,0円,0円,住居／オフィス,1978年05月,鉄筋コンクリート造4階建,一般賃貸借契約2年（自動更新）,現況空室なので内覧可能です。現状渡しでの引渡となります。保証会社加入要。成約時仲介手数料として賃料の1.08ヶ月分を頂戴致します。,THEBRIDGE株式会社,媒介,※募集は終了しております,2016年10月27日,②DIY補助50万円まで有。＠大阪府大東市。梅田まで乗り換え無し23分。,"野崎観音のあるJR野崎駅徒歩5分（大阪府大東市）の物件のご紹介です。こちらは2階部分のDIY50万円まで補助有プランになります。写真からもお分かり頂けるようにいい感じに外壁リニュアルされています。「こんな物件が大阪市内中心部でないかなあ。。」という声も聞こえてきそうな気もしますが、実はこの野崎駅、乗り換え無しで梅田（JR北新地駅）まで23分で行くことができる便利なところなのです。郊外に行く分、落ち着いた環境で生活でき、33平米という広さにも関わらず、家賃も44,000円という家計に優しい賃料設定となっています。お部屋は2階の角部屋で南向きバルコニーなので、室内はとても明るいです。別でリノベ済のお部屋もあるので、仕上がりイメージの参考に内覧頂くことも可能です。基本、構造に関わる箇所以外ならなんでもOK。4階はフルでいじられたいエキスパート好み、こちらの2階はこの年代にアルアルな間取りですが、状態は良いので、プチDIY志向になりますかね。近くには大阪産業大学のキャンパスもあるので、一人暮らしに必要となるお店は一通り揃っています。Let'sDIYP!"
https://www.diyp.jp/room/701,-,東京都世田谷区砧6-36-6,小田急線「祖師ケ谷大蔵」駅徒歩1分,"¥117,000","¥5,000",36.00㎡,室内の躯体の内側、構造に関わる箇所以外、改装OK,改装内容によるので、事前相談により決定,1ヶ月,1ヶ月,住居,昭和61年,木造／2階建,普通賃貸借契約2年,成約時仲介手数料として賃料の1.08ヶ月分を頂戴します。,株式会社PAX,仲介,※募集は終了しております,2016年10月27日,祖師ケ谷大蔵改装費用として150万円までオーナ負担あり,祖師ケ谷大蔵の駅から近いです。建物の2階部分ワンフロアーで、1階は、銀行のATMなどがあります。元々は事業用として貸出されていたスペースらしいのですが、今回は住居での募集となりました。なので、お風呂とかキッチンとかないです。改装費用として、上限150万円までをオーナーさんの方で補助してくれるそうなので、その予算を利用して、室内を整えて頂ければと思います。現状はなにもないので、とりあえずお風呂とキッチン作って、壁に塗装したり、床にフローリング貼ったりなどなど、自由に設えてもらえればと思います。改装前に、プランをオーナーさんの方に確認をして下さい。退去時の原状回復についても、その際に取り決める形となります。駅から近いので、便利だと思います。
https://www.diyp.jp/room/751,代々木村田マンション411号室,東京都渋谷区代々木4-28-8,JR山手線「新宿」駅徒歩10分、京王線「初台」駅徒歩4分、小田急線「参宮橋」駅徒歩6分,"¥140,000",¥0,46.86㎡,室内の躯体の内側、構造に関わる箇所以外、改装OK.,改装工事内容を事前にオーナーに了承を得ることで原状回復義務なし,1ヶ月,1ヶ月,住居／オフィス,1965年,RC造／地下1階地上8階建,普通賃貸借契約2年,事務所利用の場合は、賃料に消費税が加算されます。,株式会社PAX,仲介,※募集は終了しております,2017年02月27日,代々木村田マンション80室以上ある全ての部屋が改装可能,建物は、外観からしてクリエイティブな雰囲気が漂い、古い学校のようなルックスがとても魅力的です。代々木村田マンションといえば、知る人ぞ知る「クリエイティブ系」の方が多く入居するはしりのようなビルとして有名で、今でも入居者には建築事務所や写真家の方のアトリエ等が多くあり、入居者同士のコミュニティーもとても楽しそうです。人気の秘密は、もちろん室内を改装できるという事と、建物全体の雰囲気及び、室内の間取りが広く抜けており、空間としてとても魅力的であるという事があげられると思います。改装できる範囲としては、基本的に躯体の内側であればOKで、壁にペイントをしたり、棚を付けたり、床を張り変えたり、キッチンを新しくしたりといった事などが色々と可能です。退室時の原状回復に関しては、改装を行う前に改装したい内容をオーナーさんの方に提出し、了承を得た範囲に関しては必要ありません。了承を得ずに改装をしたものに関しては原状回復の対象となりますので、お気をつけ下さい。既に建物内のほぼ全てのお部屋が改装して利用されているので、オーナーさんも、管理事務所の方も、改装についての理解は高いです。411号室は、お風呂がついており、住居としての利用が可能です。以前の住人の方が造られた、大きめのクローゼットが部屋の中央にあります。この状態を活かすのもありですし、まるっと全体をやり変えるのも大丈夫です。
https://www.diyp.jp/room/801,ヤマダビル1F,東京都目黒区上目黒2-42-1,東急東横線「中目黒」駅徒歩7分,"¥324,000",¥0,48.95㎡,躯体の内側,改装内容によるので、事前相談により決定,10ヶ月,1ヶ月,オフィス／店舗,1992年,鉄骨造／4階建,定期建物賃貸借契約5年,飲食店不可。成約時仲介手数料として賃料の1.08ヶ月分を頂戴します。,株式会社PAX,仲介,※募集は終了しております,2017年06月01日,中目黒銀座商店街1階スケルトン,中目黒銀座商店街沿いに建つ建物の１階です。現状はスケルトンになっています。飲食店は不可らしいのですが、物販店舗やギャラリー、事務所なんかにも場所柄良さそうに思いました。天井高もちょい高めです。商店街の奥の方ですが（中目黒を背にして、ジャンティークより奥、ジャンカデリックより手前です）、この辺りの方が少し静かでいいかもと思いました。
https://www.diyp.jp/room/851,ロイヤルテラス503号室,東京都渋谷区上原1-32-5,小田急小田原線・メトロ千代田線「代々木上原」駅徒歩1分,"¥270,000","¥5,400",39.20㎡,構造に関わる箇所以外改装可,改装内容によるので、事前相談により決定,0ヶ月,0ヶ月,オフィス／店舗,1963年08月,鉄筋コンクリート造／地上６階建,定期建物賃貸借契約（再契約相談可）,平成35年3月建物解体予定。別途水道料有。保証会社加入必須。成約時には仲介手数料として1.08ヶ月を頂戴します。,株式会社PAX,仲介,※募集は終了しております,2017年07月15日,代々木上原平成35年3月解体予定都心を一望ルーフバルコニー付き,エレベーターなし、５階。正直しんどいですが、それと引き替えに絶景を手にすることができます。代々木上原駅から徒歩１分。駅を降りてから、急な坂を登った所にある物件です。１階には雰囲気のある飲食店などが入っていました。植栽も素敵でいい感じです。住居だけでなく、デザイン系の事務所やサロンなどが入っているようです。建物自体が洗練された雰囲気があるので、デザイン系の事務所とかにもいいですし、物販店なんかも結構いいのかな、と思いました。何と言っても一番の魅力は、専有のルーフバルコニーです。割と広さもありました。植物をいろいろ育ててみたり、いっそベンチや机とかをここで作ってみたりたりするのも楽しそうですね。平成35年3月建物解体予定のため、定期建物賃貸借契約となります。初期費用も抑えめです。
https://www.diyp.jp/room/901,SodaCCo3T04,東京都渋谷区代官山町9-10,東急東横線「代官山」駅徒歩8分,"¥235,440",¥0,40.00㎡,室内の内側の変更。事前確認必要。,原状回復必要,6ヶ月,1ヶ月,オフィス,1973年,RC造／地上6階建,定期建物賃貸借5年,成約時仲介手数料として賃料の1.08ヶ月分を頂戴します。,株式会社PAX,仲介,※募集は終了しております,2017年09月04日,代官山SodaCCo,代官山、八幡通りから路地を入った先にある建物です。一棟全体がリノベーションされ、入り口周りに木が植えられ、駐輪スペースやウッドデッキなど、空間がゆったりと取られています。2階部分にカフェがあり、イベントスペースがあったり、上階には、クリエイター向けのシェアオフィス「co-lab」あります。全体的に動的な賑やかな印象の建物でした。屋上のスペースも利用できます。貸し室は3階にあり、「SHOWROOMOFFICE」と名付けられたフロアーにあります。廊下に対して一面ガラスとなっており、外に向かって開放的なオフィス空間となっています。スケルトンの床や高めの天井も自由な雰囲気があります。改装については、事前相談の上、行っていただく形となります。他のお部屋は、室内に壁を建てたり、塗装をしたりしてカスタムを行なっているそうです。シンプルな内装になっているので、壁への塗装は印象が変わって面白いかもと思いました。退去の際は、現状への戻しが必要となります。まずは、建物全体的な雰囲気を感じて頂き、ここならもっと楽しく仕事ができそうだぞと思った方に、ぜひご利用頂ければと思います。【SodaCCo】http://sodacco.jp/【co-lab】http://co-lab.jp/
